Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C701,22uF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,241.9,-42.1,0,bottom
C702,4.7n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,324.8,-51,0,bottom
C703,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,237.3,-49.5,-90,bottom
C704,10u,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,83.7,-41.175,0,bottom
C705,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,295.6,-68.5,180,bottom
C706,22uF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,241.5,-59.3,0,bottom
C707,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,296.91,-78.875,0,bottom
C708,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,310.03,-74.535,90,bottom
C709,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,307.2,-67.625,180,bottom
C710,10u,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,291.13,-68.085,0,bottom
C711,22uF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,241.5,-62.6,0,bottom
C712,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,87.725,-46.5,-90,bottom
C713,10u,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,83.725,-43.725,0,bottom
C714,4.7n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,245.05,-32.475,0,bottom
C715,10u,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,382,-70.8,-90,bottom
D1,1N4148,D_SOD-123,57.90375,-54.615,-90,bottom
D2,1N4148,D_SOD-123,57.90375,-83.19,-90,bottom
D3,1N4148,D_SOD-123,68.38125,-99.3825,180,bottom
D4,1N4148,D_SOD-123,79.81125,-117.00375,180,bottom
D5,1N4148,D_SOD-123,82,-135.9,180,bottom
D6,1N4148,D_SOD-123,79.8,-154.9,180,bottom
D7,1N4148,D_SOD-123,86.47875,-35.08875,-90,bottom
D8,1N4148,D_SOD-123,86.47875,-54.615,-90,bottom
D9,1N4148,D_SOD-123,76.95375,-82.96875,-90,bottom
D10,1N4148,D_SOD-123,86.47875,-101.74,-90,bottom
D11,1N4148,D_SOD-123,91.24125,-120.81375,-90,bottom
D12,1N4148,D_SOD-123,97.90875,-138.91125,-90,bottom
D13,1N4148,D_SOD-123,84.0975,-158.91375,-90,bottom
D14,1N4148,D_SOD-123,105.52875,-35.34375,-90,bottom
D15,1N4148,D_SOD-123,105.52875,-54.13875,-90,bottom
D16,1N4148,D_SOD-123,96.00375,-82.71375,-90,bottom
D17,1N4148,D_SOD-123,105.52875,-101.76375,-90,bottom
D18,1N4148,D_SOD-123,110.29125,-120.81375,-90,bottom
D19,1N4148,D_SOD-123,100.76625,-139.86375,-90,bottom
D20,1N4148,D_SOD-123,107.91,-158.91375,-90,bottom
D21,1N4148,D_SOD-123,124.57875,-35.565,-90,bottom
D22,1N4148,D_SOD-123,124.57875,-54.13875,-90,bottom
D23,1N4148,D_SOD-123,115.05375,-82.71375,-90,bottom
D24,1N4148,D_SOD-123,124.57875,-101.76375,-90,bottom
D25,1N4148,D_SOD-123,129.34125,-120.81375,-90,bottom
D26,1N4148,D_SOD-123,119.81625,-140.085,-90,bottom
D27,1N4148,D_SOD-123,143.62875,-35.565,-90,bottom
D28,1N4148,D_SOD-123,143.62875,-54.13875,-90,bottom
D29,1N4148,D_SOD-123,134.10375,-82.71375,-90,bottom
D30,1N4148,D_SOD-123,143.62875,-101.76375,-90,bottom
D31,1N4148,D_SOD-123,148.39125,-120.81375,-90,bottom
D32,1N4148,D_SOD-123,138.86625,-139.86375,-90,bottom
D33,1N4148,D_SOD-123,167.44125,-35.08875,-90,bottom
D34,1N4148,D_SOD-123,167.44125,-54.13875,-90,bottom
D35,1N4148,D_SOD-123,153.15375,-82.71375,-90,bottom
D36,1N4148,D_SOD-123,162.67875,-101.76375,-90,bottom
D37,1N4148,D_SOD-123,167.44125,-120.81375,-90,bottom
D38,1N4148,D_SOD-123,157.91625,-139.86375,-90,bottom
D39,1N4148,D_SOD-123,170.72,-158.861,-90,bottom
D40,1N4148,D_SOD-123,186.49125,-35.08875,-90,bottom
D41,1N4148,D_SOD-123,186.49125,-54.13875,-90,bottom
D42,1N4148,D_SOD-123,172.20375,-82.71375,-90,bottom
D43,1N4148,D_SOD-123,181.72875,-101.76375,-90,bottom
D44,1N4148,D_SOD-123,186.49125,-120.81375,-90,bottom
D45,1N4148,D_SOD-123,176.96625,-139.86375,-90,bottom
D46,1N4148,D_SOD-123,205.54125,-35.08875,-90,bottom
D47,1N4148,D_SOD-123,205.54125,-54.13875,-90,bottom
D48,1N4148,D_SOD-123,191.25375,-82.71375,-90,bottom
D49,1N4148,D_SOD-123,200.77875,-101.76375,-90,bottom
D50,1N4148,D_SOD-123,205.54125,-120.81375,-90,bottom
D51,1N4148,D_SOD-123,196.01625,-139.86375,-90,bottom
D52,1N4148,D_SOD-123,224.59125,-35.34375,-90,bottom
D53,1N4148,D_SOD-123,224.59125,-54.13875,-90,bottom
D54,1N4148,D_SOD-123,210.25,-83.425,-90,bottom
D55,1N4148,D_SOD-123,219.82875,-101.76375,-90,bottom
D56,1N4148,D_SOD-123,224.59125,-120.81375,-90,bottom
D57,1N4148,D_SOD-123,215.06625,-139.86375,-90,bottom
D58,1N4148,D_SOD-123,264.2,-34.95,-90,bottom
D59,1N4148,D_SOD-123,253.8,-52.6,180,bottom
D60,1N4148,D_SOD-123,229.35375,-82.71375,-90,bottom
D61,1N4148,D_SOD-123,238.87875,-101.76375,-90,bottom
D62,1N4148,D_SOD-123,243.64125,-120.81375,-90,bottom
D63,1N4148,D_SOD-123,234.11625,-139.86375,-90,bottom
D64,1N4148,D_SOD-123,248.40375,-159.135,-90,bottom
D65,1N4148,D_SOD-123,267.45375,-35.08875,-90,bottom
D66,1N4148,D_SOD-123,267.45375,-54.13875,-90,bottom
D67,1N4148,D_SOD-123,248.40375,-82.71375,-90,bottom
D68,1N4148,D_SOD-123,257.92875,-101.76375,-90,bottom
D69,1N4148,D_SOD-123,262.69125,-120.81375,-90,bottom
D70,1N4148,D_SOD-123,253.16625,-139.86375,-90,bottom
D71,1N4148,D_SOD-123,267.45375,-158.91375,-90,bottom
D72,1N4148,D_SOD-123,286.50375,-35.08875,-90,bottom
D73,1N4148,D_SOD-123,286.50375,-54.13875,-90,bottom
D74,1N4148,D_SOD-123,267.45375,-82.71375,-90,bottom
D75,1N4148,D_SOD-123,276.97875,-101.76375,-90,bottom
D76,1N4148,D_SOD-123,281.74125,-120.81375,-90,bottom
D77,1N4148,D_SOD-123,272.21625,-139.86375,-90,bottom
D78,1N4148,D_SOD-123,283,-158.91375,-90,bottom
D79,1N4148,D_SOD-123,305.55375,-35.08875,-90,bottom
D80,1N4148,D_SOD-123,305.55375,-54.13875,-90,bottom
D81,1N4148,D_SOD-123,286.41,-85.135,-90,bottom
D82,1N4148,D_SOD-123,296.02875,-101.76375,-90,bottom
D83,1N4148,D_SOD-123,300.8,-120.9,-90,bottom
D84,1N4148,D_SOD-123,298.41,-140.34,-90,bottom
D85,1N4148,D_SOD-123,310.31625,-163.67625,-90,bottom
D86,1N4148,D_SOD-123,329.36625,-35.08875,-90,bottom
D87,1N4148,D_SOD-123,329.36625,-54.13875,-90,bottom
D88,1N4148,D_SOD-123,306.02,-85.83,-90,bottom
D89,1N4148,D_SOD-123,317.46,-102.71625,-90,bottom
D90,1N4148,D_SOD-123,339.9,-109.2,-90,bottom
D91,1N4148,D_SOD-123,329.36625,-144.62625,-90,bottom
D92,1N4148,D_SOD-123,329.36625,-163.67625,-90,bottom
D93,1N4148,D_SOD-123,348.41625,-35.08875,-90,bottom
D94,1N4148,D_SOD-123,348.41625,-54.13875,-90,bottom
D95,1N4148,D_SOD-123,348.41625,-82.71375,-90,bottom
D96,1N4148,D_SOD-123,348.41625,-102.24,-90,bottom
D97,1N4148,D_SOD-123,348.41625,-120.81375,-90,bottom
D98,1N4148,D_SOD-123,348.41625,-163.67625,-90,bottom
D99,1N4148,D_SOD-123,367.46625,-35.08875,-90,bottom
D100,1N4148,D_SOD-123,367.46625,-54.13875,-90,bottom
D101,1N4148,D_SOD-123,372.22875,-82.71375,-90,bottom
D102,1N4148,D_SOD-123,372.22875,-101.76375,-90,bottom
D103,1N4148,D_SOD-123,372.22875,-120.81375,-90,bottom
D104,1N4148,D_SOD-123,372.22875,-139.86375,-90,bottom
D105,1N4148,D_SOD-123,387.4,-155.1,180,bottom
D106,1N4148,D_SOD-123,391.27875,-35.08875,-90,bottom
D107,1N4148,D_SOD-123,391.27875,-54.13875,-90,bottom
D108,1N4148,D_SOD-123,391.2,-83.19,-90,bottom
D109,1N4148,D_SOD-123,391.27875,-101.76375,-90,bottom
D110,1N4148,D_SOD-123,391.27875,-120.81375,-90,bottom
D111,1N4148,D_SOD-123,391.27875,-140.11875,-90,bottom
D112,1N4148,D_SOD-123,407.6,-159,-90,bottom
D113,1N4148,D_SOD-123,410.32875,-35.08875,-90,bottom
D114,1N4148,D_SOD-123,410.32875,-54.13875,-90,bottom
D115,1N4148,D_SOD-123,410.32875,-83.19,-90,bottom
D116,1N4148,D_SOD-123,410.32875,-101.76375,-90,bottom
D117,1N4148,D_SOD-123,410.32875,-120.81375,-90,bottom
D118,1N4148,D_SOD-123,410.32875,-140.34,-90,bottom
D119,1N4148,D_SOD-123,410.4,-159,-90,bottom
